Cas;ID;Admission;Séjour / Congé;Fugue;Provenance;Date de début;Année de début;Séjour;Date de fin;Durée;Date majorité;Destination;Motifs de placement
1;HbSqUn87tZE;Admission 1;;;Eltern / Familie;16.08.2022;2022;;22.05.2024;646;45407;majorité; 
1;HbSqUn87tZE;;Séjour 1;;Eltern / Familie;16.08.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;02.02.2023;171;45407;;
1;HbSqUn87tZE;;;Fugue 1;;27.12.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;03.01.2023;7;45407;;
1;HbSqUn87tZE;;;Fugue 2;;09.01.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;11.01.2023;2;45407;;
1;HbSqUn87tZE;;;Fugue 3;;20.01.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;22.01.2023;3;45407;;
1;HbSqUn87tZE;;Séjour 2;;CSEE_X Intensivpädagogische  Wohngruppe;02.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;23.03.2023;50;45407;;
1;HbSqUn87tZE;;;Fugue 4;;03.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;11.02.2023;8;45407;;
1;HbSqUn87tZE;;;Fugue 5;;12.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;05.03.2023;21;45407;;
1;HbSqUn87tZE;;;Fugue 6;;11.03.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;12.03.2023;2;45407;;
1;HbSqUn87tZE;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;23.03.2023;2023;;29.03.2023;7;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Congé 2;;;29.03.2023;2023;;28.04.2023;31;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Congé 3;;;28.04.2023;2023;;07.06.2023;41;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Séjour 3;;Heimstruktur AEF LUX;07.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;22.05.2024;351;45407;majorité;
1;HbSqUn87tZE;;;Fugue 7;;12.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;14.06.2023;2;45407;;
1;HbSqUn87tZE;;;Fugue 8;;18.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;20.06.2023;2;45407;;
2;QCr7jyDca5A;Admission 1;;;Eltern / Familie;10.08.2022;2022;;07.11.2024;821;45590;majorité; 
2;QCr7jyDca5A;;Séjour 1;;Eltern / Familie;10.08.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;20.09.2023;407;45590;;
2;QCr7jyDca5A;;;Fugue 1;;06.11.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;07.11.2022;2;45590;;
2;QCr7jyDca5A;;;Fugue 2;;01.03.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;07.03.2023;7;45590;;
2;QCr7jyDca5A;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;20.09.2023;2023;;30.04.2024;224;45590;Eltern / Familie;
2;QCr7jyDca5A;Suivi 1;;;;13.02.2024;2024;;25.06.2024;134;45590;;
2;QCr7jyDca5A;;Séjour 2;;Eltern / Familie;30.04.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;07.11.2024;192;45590;majorité;
2;QCr7jyDca5A;;;Fugue 3;;07.05.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;19.06.2024;44;45590;;
2;QCr7jyDca5A;;;Fugue 4;;21.06.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;07.11.2024;139;45590;;
3;esvx8H0ssAo;Admission 1;;;;12.03.2022;2022;;30.03.2022;19;45986;CSEE_X; 
3;esvx8H0ssAo;;Séjour 1;;;12.03.2022;2022;CSEE Unisec;30.03.2022;19;45986;;
3;esvx8H0ssAo;Admission 2;;;CSEE Unisec;30.03.2022;2022;;27.09.2022;182;45986;Eltern / Familie; 
3;esvx8H0ssAo;;Congé 1;;CSEE Unisec;30.03.2022;2022;;26.09.2022;181;45986;Eltern / Familie;
3;esvx8H0ssAo;;Séjour 2;;Eltern / Familie;26.09.2022;2022;CSEE Unisec;27.09.2022;2;45986;;
4;tzv7JHistVQ;Admission 1;;;"Psychiatrische Einrichtung LUX
";21.06.2024;2024;;;;46808;;a b c m n 
4;tzv7JHistVQ;;Séjour 1;;"Psychiatrische Einrichtung LUX
";21.06.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;09.04.2025;293;46808;;
4;tzv7JHistVQ;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;09.04.2025;2025;;;;46808;;
5;JuKLipDwu7g;Admission 1;;;Eltern / Familie;30.01.2025;2025;;24.08.2025;207;45863;; 
5;JuKLipDwu7g;;Séjour 1;;Eltern / Familie;30.01.2025;2025;CSEE_Y Aufnahmegruppe;24.08.2025;207;45863;majorité;
5;JuKLipDwu7g;;;Fugue 1;;15.02.2025;2025;CSEE_Y Aufnahmegruppe;21.02.2025;6;45863;;
5;JuKLipDwu7g;;;Fugue 2;;22.02.2025;2025;CSEE_Y Aufnahmegruppe;22.03.2025;28;45863;;
5;JuKLipDwu7g;;;Fugue 3;;23.03.2025;2025;CSEE_Y Aufnahmegruppe;20.08.2025;151;45863;;
5;JuKLipDwu7g;;;Fugue 4;;20.08.2025;2025;CSEE_Y Aufnahmegruppe;24.08.2025;4;45863;majorité;
6;UpKPi0hx35o;Admission 1;;;;06.07.2025;2025;;15.07.2025;10;45925;CSEE_Z;i 
6;UpKPi0hx35o;;Séjour 1;;;06.07.2025;2025;CSEE Unisec;15.07.2025;10;45925;;
6;UpKPi0hx35o;Admission 2;;;CSEE Unisec;15.07.2025;2025;;05.08.2025;22;45925;NA;i 
6;UpKPi0hx35o;;Séjour 2;;CSEE Unisec;15.07.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;05.08.2025;22;45925;;
6;UpKPi0hx35o;;;Fugue 1;;15.07.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;05.08.2025;21;45925;;
7;UYcWs5BnvQw;Admission 1;;;;30.05.2023;2023;;10.11.2023;165;45955;CSEE Unisec; 
7;UYcWs5BnvQw;;Séjour 1;;;30.05.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;10.11.2023;165;45955;;
7;UYcWs5BnvQw;;;Fugue 1;;11.07.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;14.07.2023;3;45955;;
7;UYcWs5BnvQw;;;Fugue 2;;24.07.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;28.07.2023;5;45955;;
7;UYcWs5BnvQw;;;Fugue 3;;28.07.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;21.08.2023;24;45955;;
7;UYcWs5BnvQw;;;Fugue 4;;22.08.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;25.08.2023;3;45955;;
7;UYcWs5BnvQw;;;Fugue 5;;11.09.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;12.09.2023;2;45955;;
7;UYcWs5BnvQw;;;Fugue 6;;04.10.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;05.10.2023;2;45955;;
7;UYcWs5BnvQw;;;Fugue 7;;20.10.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;23.10.2023;3;45955;;
7;UYcWs5BnvQw;;;Fugue 8;;27.10.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;29.10.2023;3;45955;;
7;UYcWs5BnvQw;Admission 2;;;CSEE_Z Intensivpädagogische Wohngruppe;10.11.2023;2023;;28.03.2024;140;45955;CSEE_X;g h i m 
7;UYcWs5BnvQw;;Séjour 2;;CSEE_Z Intensivpädagogische Wohngruppe;10.11.2023;2023;CSEE Unisec;28.03.2024;140;45955;;
7;UYcWs5BnvQw;Suivi 1;;;;08.02.2024;2024;;27.03.2024;49;45955;;
7;UYcWs5BnvQw;Admission 3;;;CSEE Unisec;28.03.2024;2024;;08.05.2024;42;45955;CSEE Unisec; 
7;UYcWs5BnvQw;;Séjour 3;;CSEE Unisec;28.03.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;08.05.2024;42;45955;;
7;UYcWs5BnvQw;;;Fugue 9;;04.04.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;06.04.2024;2;45955;;
7;UYcWs5BnvQw;;;Fugue 10;;17.04.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;19.04.2024;3;45955;;
7;UYcWs5BnvQw;;;Fugue 11;;04.05.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;06.05.2024;3;45955;;
7;UYcWs5BnvQw;Admission 4;;;CSEE_Z Intensivpädagogische Wohngruppe;08.05.2024;2024;;15.07.2024;69;45955;CSEE Unisec;a b c 
7;UYcWs5BnvQw;;Séjour 4;;CSEE_Z Intensivpädagogische Wohngruppe;08.05.2024;2024;CSEE Unisec;15.07.2024;69;45955;;
7;UYcWs5BnvQw;Admission 5;;;CSEE Unisec;15.07.2024;2024;;13.08.2024;30;45955;CPL; 
7;UYcWs5BnvQw;;Séjour 5;;CSEE Unisec;15.07.2024;2024;CSEE Unisec;13.08.2024;30;45955;;
7;UYcWs5BnvQw;Admission 6;;;CPL;13.09.2024;2024;;26.11.2024;75;45955;CSEE_X;a b c e g h i 
7;UYcWs5BnvQw;;Séjour 6;;CPL;13.09.2024;2024;CSEE Unisec;26.11.2024;75;45955;;
7;UYcWs5BnvQw;Admission 7;;;CSEE Unisec;26.11.2024;2024;;28.01.2025;64;45955;CSEE Unisec; 
7;UYcWs5BnvQw;;Séjour 7;;CSEE Unisec;26.11.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;28.01.2025;64;45955;;
7;UYcWs5BnvQw;;;Fugue 12;;06.12.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;22.12.2024;16;45955;;
7;UYcWs5BnvQw;;;Fugue 13;;23.12.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;01.01.2025;10;45955;;
7;UYcWs5BnvQw;;;Fugue 14;;01.01.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;06.01.2025;5;45955;;
7;UYcWs5BnvQw;;;Fugue 15;;09.01.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;17.01.2025;9;45955;;
7;UYcWs5BnvQw;Admission 8;;;CSEE_Z Intensivpädagogische Wohngruppe;28.01.2025;2025;;22.04.2025;85;45955;CSEE Unisec;a b c h m 
7;UYcWs5BnvQw;;Séjour 8;;CSEE_Z Intensivpädagogische Wohngruppe;28.01.2025;2025;CSEE Unisec;22.04.2025;85;45955;;
7;UYcWs5BnvQw;Admission 9;;;CSEE Unisec;22.04.2025;2025;;27.06.2025;67;45955;CSEE_Y Intensivpädagogische Wohngruppe; 
7;UYcWs5BnvQw;;Séjour 9;;CSEE Unisec;22.04.2025;2025;CSEE Unisec;23.06.2025;63;45955;;
7;UYcWs5BnvQw;;Congé 1;;CSEE Unisec;23.06.2025;2025;;27.06.2025;5;45955;Verwandtschaftspflege;
7;UYcWs5BnvQw;Admission 10;;;;27.06.2025;2025;;;;45955;;a b c e h l 
7;UYcWs5BnvQw;;Séjour 10;;Verwandtschaftspflege;27.06.2025;2025;CSEE_Y Studio;;;45955;;
7;UYcWs5BnvQw;;;Fugue 16;;27.06.2025;2025;CSEE_Y Studio;04.07.2025;7;45955;;
7;UYcWs5BnvQw;;;Fugue 17;;09.07.2025;2025;CSEE_Y Studio;17.07.2025;8;45955;;
7;UYcWs5BnvQw;;;Fugue 18;;18.07.2025;2025;CSEE_Y Studio;19.07.2025;2;45955;;
7;UYcWs5BnvQw;;;Fugue 19;;23.07.2025;2025;CSEE_Y Studio;26.07.2025;4;45955;;
7;UYcWs5BnvQw;;;Fugue 20;;01.08.2025;2025;CSEE_Y Studio;09.08.2025;8;45955;;
7;UYcWs5BnvQw;;;Fugue 21;;11.08.2025;2025;CSEE_Y Studio;20.08.2025;10;45955;;
7;UYcWs5BnvQw;;;Fugue 22;;06.09.2025;2025;CSEE_Y Studio;07.09.2025;2;45955;;
7;UYcWs5BnvQw;;;Fugue 23;;20.09.2025;2025;CSEE_Y Studio;22.09.2025;3;45955;;
8;4ODE869BosM;Admission 1;;;NA;29.07.2023;2023;;31.08.2023;34;45621;NA; 
8;4ODE869BosM;;Séjour 1;;;29.07.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;31.08.2023;34;45621;;
8;4ODE869BosM;;;Fugue 1;;29.07.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;31.08.2023;33;45621;;
9;YZZdawnCE72;Admission 1;;;;09.09.2024;2024;;02.10.2024;24;46259;NA; 
9;YZZdawnCE72;;Séjour 1;;;09.09.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;02.10.2024;24;46259;;
9;YZZdawnCE72;;;Fugue 1;;09.09.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;02.10.2024;23;46259;;
10;4kx5xWktEAk;Admission 1;;;CPL;04.10.2021;2021;;08.12.2021;66;45560;CSEE_X; 
10;4kx5xWktEAk;;Séjour 1;;CPL;04.10.2021;2021;CSEE Unisec;08.12.2021;66;45560;;
10;4kx5xWktEAk;Admission 2;;;CSEE Unisec;09.12.2021;2021;;09.03.2022;91;45560;NA; 
10;4kx5xWktEAk;;Séjour 2;;CSEE Unisec;09.12.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;09.03.2022;91;45560;;
10;4kx5xWktEAk;;;Fugue 1;;17.12.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;19.12.2021;2;45560;;
10;4kx5xWktEAk;;;Fugue 2;;27.12.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;29.12.2021;3;45560;;
10;4kx5xWktEAk;;;Fugue 3;;30.12.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;07.01.2022;8;45560;;
10;4kx5xWktEAk;;;Fugue 4;;09.01.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;09.03.2022;59;45560;;
10;4kx5xWktEAk;Admission 3;;;;16.07.2022;2022;;26.08.2022;42;45560;NA;f 
10;4kx5xWktEAk;;Séjour 3;;;16.07.2022;2022;CSEE Unisec;26.08.2022;42;45560;;
11;E2UtRYfHVSc;Admission 1;;;Eltern / Familie;24.01.2020;2020;;28.05.2020;126;44341;CSEE_Y Intensivpädagogische Wohngruppe; 
11;E2UtRYfHVSc;;Séjour 1;;Eltern / Familie;24.01.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;27.04.2020;95;44341;;
11;E2UtRYfHVSc;;;Fugue 1;;10.03.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;14.03.2020;5;44341;;
11;E2UtRYfHVSc;;;Fugue 2;;18.03.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;10.04.2020;24;44341;;
11;E2UtRYfHVSc;;;Fugue 3;;22.04.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;27.04.2020;6;44341;;
11;E2UtRYfHVSc;;Séjour 2;;CSEE_Y Intensivpädagogische Wohngruppe;27.04.2020;2020;CSEE_X Intensivpädagogische Wohngruppe;06.05.2020;10;44341;;
11;E2UtRYfHVSc;;;Fugue 4;;05.05.2020;2020;CSEE_X Intensivpädagogische Wohngruppe;08.05.2020;4;44341;;
11;E2UtRYfHVSc;;Séjour 3;;CSEE_X Intensivpädagogische  Wohngruppe;06.05.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;28.05.2020;23;44341;;
11;E2UtRYfHVSc;Admission 2;;;CSEE_Y Intensivpädagogische Wohngruppe;28.05.2020;2020;;15.01.2021;233;44341;CSEE Unisec; 
11;E2UtRYfHVSc;;Séjour 4;;CSEE_Y Intensivpädagogische Wohngruppe;28.05.2020;2020;CSEE Unisec;31.07.2020;65;44341;;
11;E2UtRYfHVSc;;Congé 1;;CSEE Unisec;31.07.2020;2020;;15.01.2021;169;44341;Eltern / Familie;
11;E2UtRYfHVSc;Admission 3;;;Eltern / Familie;15.01.2021;2021;;08.02.2021;25;44341;CSEE Unisec; 
11;E2UtRYfHVSc;;Séjour 5;;Eltern / Familie;15.01.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;25.01.2021;11;44341;;
11;E2UtRYfHVSc;;;Fugue 5;;17.01.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;24.01.2021;8;44341;;
11;E2UtRYfHVSc;;Séjour 6;;CSEE_X Intensivpädagogische  Wohngruppe;25.01.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;08.02.2021;15;44341;;
11;E2UtRYfHVSc;;;Fugue 6;;28.01.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;03.02.2021;7;44341;;
11;E2UtRYfHVSc;;;Fugue 7;;04.02.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;05.02.2021;2;44341;;
11;E2UtRYfHVSc;Admission 4;;;CSEE_Y Intensivpädagogische Wohngruppe;08.02.2021;2021;;07.05.2021;89;44341;CSEE Unisec; 
11;E2UtRYfHVSc;;Séjour 7;;CSEE_Y Intensivpädagogische Wohngruppe;08.02.2021;2021;CSEE Unisec;14.04.2021;66;44341;;
11;E2UtRYfHVSc;;Congé 2;;CSEE Unisec;14.04.2021;2021;;05.05.2021;22;44341;Einzelmassnahme Ausland;
11;E2UtRYfHVSc;;Congé 3;;;29.04.2021;2021;;10.05.2021;12;44341;Einzelmassnahme Ausland;
11;E2UtRYfHVSc;Admission 5;;;Einzelmassnahme Ausland;10.05.2021;2021;;08.06.2021;30;44341;majorité; 
11;E2UtRYfHVSc;;Séjour 8;;Einzelmassnahme Ausland;10.05.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;08.06.2021;30;44341;;
11;E2UtRYfHVSc;;;Fugue 8;;10.05.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;08.06.2021;29;44341;;
12;N8WLtE67qIo;Admission 1;;;NA;19.05.2020;2020;;06.12.2020;202;44160;majorité; 
12;N8WLtE67qIo;;Séjour 1;;NA;19.05.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;07.06.2020;20;44160;;
12;N8WLtE67qIo;;Séjour 2;;CSEE_Y Intensivpädagogische Wohngruppe;07.06.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;31.07.2020;55;44160;;
12;N8WLtE67qIo;;Congé 1;;CSEE_Z Intensivpädagogische Wohngruppe;31.07.2020;2020;;06.12.2020;129;44160;Eltern / Familie;
13;pbEj7venfrs;Admission 1;;;Eltern / Familie;04.10.2024;2024;;22.09.2025;354;45894;majorité; 
13;pbEj7venfrs;;Séjour 1;;Eltern / Familie;04.10.2024;2024;CSEE_Y Aufnahmegruppe;24.02.2025;144;45894;;
13;pbEj7venfrs;;;Fugue 1;;27.12.2024;2024;CSEE_Y Aufnahmegruppe;02.01.2025;6;45894;;
13;pbEj7venfrs;;;Fugue 2;;22.01.2025;2025;CSEE_Y Aufnahmegruppe;27.01.2025;5;45894;;
13;pbEj7venfrs;;;Fugue 3;;28.01.2025;2025;CSEE_Y Aufnahmegruppe;10.02.2025;14;45894;;
13;pbEj7venfrs;;Séjour 2;;CSEE_Y Aufnahmegruppe;24.02.2025;2025;CSEE_Y Studio;10.07.2025;137;45894;;
13;pbEj7venfrs;;;Fugue 4;;24.03.2025;2025;CSEE_Y Studio;31.03.2025;7;45894;;
13;pbEj7venfrs;;;Fugue 5;;01.04.2025;2025;CSEE_Y Studio;08.04.2025;8;45894;;
13;pbEj7venfrs;;;Fugue 6;;21.04.2025;2025;CSEE_Y Studio;05.05.2025;14;45894;;
13;pbEj7venfrs;;;Fugue 7;;12.05.2025;2025;CSEE_Y Studio;19.05.2025;7;45894;;
13;pbEj7venfrs;;;Fugue 8;;23.06.2025;2025;CSEE_Y Studio;27.06.2025;4;45894;;
13;pbEj7venfrs;;Séjour 3;;CSEE_Y Studio;10.07.2025;2025;CSEE_Y Aufnahmegruppe;18.07.2025;9;45894;;
13;pbEj7venfrs;;Séjour 4;;CSEE_Y Aufnahmegruppe;18.07.2025;2025;CSEE_Y Studio;22.09.2025;67;45894;;
13;pbEj7venfrs;;;Fugue 9;;25.08.2025;2025;CSEE_Y Studio;22.09.2025;28;45894;majorité;
14;r6ppFawowtI;Admission 1;;;Eltern / Familie;14.10.2022;2022;;14.08.2024;671;45590;; 
14;r6ppFawowtI;;Séjour 1;;Eltern / Familie;14.10.2022;2022;CSEE_Z Intensivpädagogische Wohngruppe;12.06.2023;242;45590;;
14;r6ppFawowtI;;;Fugue 1;;27.12.2022;2022;CSEE_Z Intensivpädagogische Wohngruppe;05.01.2023;10;45590;;
14;r6ppFawowtI;;;Fugue 2;;30.01.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;10.02.2023;11;45590;;
14;r6ppFawowtI;;;Fugue 3;;12.02.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;19.02.2023;8;45590;;
14;r6ppFawowtI;;Congé 1;;CSEE_Z Intensivpädagogische Wohngruppe;12.06.2023;2023;;20.06.2023;9;45590;Eltern / Familie;
14;r6ppFawowtI;;Séjour 2;;Eltern / Familie;20.06.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;20.06.2023;1;45590;;
14;r6ppFawowtI;;Congé 2;;CSEE_Z Intensivpädagogische Wohngruppe;20.06.2023;2023;;10.07.2023;21;45590;"Psychiatrische Einrichtung LUX
";
14;r6ppFawowtI;;;Fugue 4;;20.06.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;22.06.2023;3;45590;;
14;r6ppFawowtI;;;Fugue 5;;08.07.2023;2023;;13.07.2023;6;45590;;
14;r6ppFawowtI;;Séjour 3;;"Psychiatrische Einrichtung LUX
";10.07.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;14.08.2024;402;45590;Heimstruktur AEF LUX;
14;r6ppFawowtI;;;Fugue 6;;28.07.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;02.08.2023;5;45590;;
14;r6ppFawowtI;;;Fugue 7;;28.08.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;17.09.2023;21;45590;;
14;r6ppFawowtI;;;Fugue 8;;21.09.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;26.09.2023;5;45590;;
14;r6ppFawowtI;;;Fugue 9;;26.09.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;28.09.2023;3;45590;;
14;r6ppFawowtI;;;Fugue 10;;29.09.2023;2023;CSEE_Z Intensivpädagogische Wohngruppe;30.09.2023;2;45590;;
14;r6ppFawowtI;;;Fugue 11;;01.04.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;02.04.2024;2;45590;;
14;r6ppFawowtI;;;Fugue 12;;09.04.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;17.04.2024;8;45590;;
14;r6ppFawowtI;;;Fugue 13;;17.04.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;21.04.2024;5;45590;;
14;r6ppFawowtI;;;Fugue 14;;09.05.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;15.05.2024;6;45590;;
14;r6ppFawowtI;;;Fugue 15;;28.05.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;02.06.2024;5;45590;;
14;r6ppFawowtI;;;Fugue 16;;22.06.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;25.06.2024;3;45590;;
14;r6ppFawowtI;;;Fugue 17;;08.07.2024;2024;CSEE_Z Intensivpädagogische Wohngruppe;25.07.2024;17;45590;;
15;f4ORxxqn2oY;Admission 1;;;Eltern / Familie;29.07.2022;2022;;19.11.2024;845;45498;NA; 
15;f4ORxxqn2oY;;Séjour 1;;Eltern / Familie;29.07.2022;2022;CSEE_Y Studio;13.02.2023;200;45498;;
15;f4ORxxqn2oY;;Séjour 2;;CSEE_Y Studio;13.02.2023;2023;CSEE_Y Studio;19.11.2024;646;45498;majorité;
15;f4ORxxqn2oY;;;Fugue 1;;29.12.2023;2023;CSEE_Y Studio;01.01.2024;4;45498;;
15;f4ORxxqn2oY;;;Fugue 2;;30.05.2024;2024;CSEE_Y Studio;04.06.2024;5;45498;;
16;iY9xx8akdNx;Admission 1;;;Heimstruktur AEF LUX;01.03.2024;2024;;;;46593;;a b f l 
16;iY9xx8akdNx;;Séjour 1;;Heimstruktur AEF LUX;01.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;02.06.2025;459;46593;;
16;iY9xx8akdNx;;;Fugue 1;;01.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;05.03.2024;4;46593;;
16;iY9xx8akdNx;;;Fugue 2;;06.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;08.03.2024;2;46593;;
16;iY9xx8akdNx;;;Fugue 3;;09.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;12.03.2024;4;46593;;
16;iY9xx8akdNx;;;Fugue 4;;17.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;20.03.2024;3;46593;;
16;iY9xx8akdNx;;;Fugue 5;;29.03.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;18.05.2024;51;46593;;
16;iY9xx8akdNx;;;Fugue 6;;15.06.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;19.08.2024;66;46593;;
16;iY9xx8akdNx;;;Fugue 7;;23.08.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;30.08.2024;8;46593;;
16;iY9xx8akdNx;;;Fugue 8;;05.09.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;18.09.2024;13;46593;;
16;iY9xx8akdNx;;;Fugue 9;;20.09.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;05.11.2024;47;46593;;
16;iY9xx8akdNx;;;Fugue 10;;18.11.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;25.11.2024;8;46593;;
16;iY9xx8akdNx;;;Fugue 11;;26.11.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;03.12.2024;7;46593;;
16;iY9xx8akdNx;;;Fugue 12;;04.12.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;26.01.2025;53;46593;;
16;iY9xx8akdNx;;;Fugue 13;;28.01.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;04.02.2025;7;46593;;
16;iY9xx8akdNx;;;Fugue 14;;05.02.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;09.02.2025;5;46593;;
16;iY9xx8akdNx;;;Fugue 15;;11.02.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;16.02.2025;5;46593;;
16;iY9xx8akdNx;;;Fugue 16;;17.02.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;19.02.2025;2;46593;;
16;iY9xx8akdNx;;;Fugue 17;;20.02.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;14.03.2025;22;46593;;
16;iY9xx8akdNx;;;Fugue 18;;16.03.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;02.06.2025;78;46593;;
16;iY9xx8akdNx;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;02.06.2025;2025;;05.09.2025;96;46593;Eltern / Familie;
16;iY9xx8akdNx;;Séjour 2;;Eltern / Familie;05.09.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;05.09.2025;1;46593;;
16;iY9xx8akdNx;;Congé 2;;CSEE_X Intensivpädagogische  Wohngruppe;05.09.2025;2025;;;;46593;;
17;cevi7kQtCoQ;Admission 1;;;Eltern / Familie;18.07.2025;2025;;;;46320;;a c d 
17;cevi7kQtCoQ;;Séjour 1;;Eltern / Familie;18.07.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;;;46320;;
17;cevi7kQtCoQ;;;Fugue 1;;18.07.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;31.08.2025;45;46320;;
17;cevi7kQtCoQ;;;Fugue 2;;01.09.2025;2025;CSEE_X Intensivpädagogische Wohngruppe;23.09.2025;22;46320;;
